"RS232 (Cal) Press, x; Analog (Cal) Press, x","RS232 (Cal) Press, y","RS232 (Cal) Release, x; Analog (Cal) Release, x","RS232 (Cal) Release, y","Analog (Cal) Press, y","Analog (Cal) Release, y","Press, x","Press, y","Release, x","Release, y"
"23.098125","0","-0.009921874999999997","182.8","0.6638217164532955","344.3641536273115","23.098125","0.5111427216690375","-0.25796874999999997","663.6446973289078"
"22.651640625","0","-0.009921874999999997","219.2","0.5310573731626363","108.52157420578473","23.11796875","0.6239924134660977","-0.2778125","705.4035087719299"
"22.572265625","0","-0.009921874999999997","219.2","0.9824561403508772","73.73731626363205","23.147734375","0.6837363679468943","-0.29765625","762.0341394025605"
"22.492890624999998","0","-0.009921874999999997","218","0.5576102418207681","63.38169748696065","23.1775","0.4082503556187767","-0.30757812500000004","812.9559032716928"
"22.44328125","0","0.04960937500000001","215.7","0.4513987671882409","54.93788525367473","23.207265624999998","0.6704599336178284","-0.327421875","840.710289236605"
"22.393671875","0","0.109140625","215.7","0.21242294926505453","54.2475106685633","23.227109374999998","0.4779516358463727","-0.33734375","860.3217954796902"
"22.3440625","0","0.18851562500000002","213.2","0.39829302987197723","54.566145092460886","23.246953125","0.45582424529792953","-0.347265625","883.5422791212266"
"22.304375","0","0.238125","213.2","0.5841631104789","54.327169274537695","23.256875","0.39829302987197723","-0.009921874999999997","906.1299193930773"
"22.284531249999997","0","0.29765625","210.6","0.2655286865813182","54.566145092460886","23.286640625","0.570886676149834","0","895.2498814604078"
"22.274609374999997","0","0.367109375","208.1","0.4779516358463727","54.566145092460886","23.306484375","0.6239924134660977","-0.009921874999999997","789.8615457562826"
"22.274609374999997","0","0.446484375","208.1","0.6372688477951636","54.061640587956376","23.31640625","0.29871977240398295","0","664.963489805595"
"22.274609374999997","0","0.49609375","205.6","0.39829302987197723","53.95542911332385","23.326328125","0.1593172119487909","-0.009921874999999997","309.5931721194879"
"22.274609374999997","0","0.555625","205.6","0.2655286865813182","53.87577050734946","23.31640625","0.7936357410041621","0","86.69511616880038"
"22.264687499999997","0","0.6151562500000001","199.9","0.6903745851114272","54.300616405879566","23.286640625","0.30093251145882727","-0.009921874999999997","87.79706021811285"
"22.264687499999997","0","0.684609375","193.4","0.6372688477951636","54.592697961119015","23.27671875","0.3363363363363363","0","71.75027659238185"
"22.264687499999997","0","0.744140625","193.4","2.894262683736368","54.96443812233286","23.237031249999998","0.7479058005373795","0.009921874999999997","64.20483641536273"
"22.234921874999998","0","0.7937500000000001","185.1","1.433854907539118","54.40682788051209","23.217187499999998","0.2203888098624941","0.02976562499999999","60.45424371740162"
"22.215078124999998","0","0.823515625","185.1","0.5841631104789","53.92887624466572","23.187421875","0.6372688477951636","0.03968749999999999","57.35419630156473"
"22.215078124999998","-0.1","0.85328125","171.1","0.37174016121384545","53.82266477003319","23.147734375","0.8364153627311522","0.04960937499999998","55.93361782835467"
"22.215078124999998","-0.1","0.8632031250000001","153.2","0.18587008060692273","53.71645329540067","23.07828125","0.3451872925557136","0.06945312499999999","55.88051209103841"
"22.1853125","-0.1","0.9028906250000001","153.2","0.21242294926505453","54.194404931247036","23.0584375","0.4646752015173068","0.089296875","55.808819345661455"
"22.175390625","0","0.93265625","128.2","0.1327643432906591","53.55713608345187","23.028671875","0.5089299826141932","0.148828125","55.1060534218429"
"22.16546875","0","0.9525","128.2","0.2655286865813182","53.397818871503084","22.99890625","0.48680259206574994","0.15875","54.84495021337127"
"22.135703125","-0.1","1.0120312500000002","96.3","0.39829302987197723","53.98198198198198","22.959218749999998","0.4691006796269955","0.17859375","54.924608819345664"
"22.12578125","-0.1","1.05171875","55.4","0.716927453769559","53.47747747747748","22.949296874999998","0.6239924134660977","0.1984375","54.818397344713134"
"22.115859375","0","1.081484375","55.4","0.7965860597439545","54.03508771929825","22.909609375","0.3894420736526","0.21828124999999998","54.521890311364004"
"22.115859375","-0.1","1.101328125","54.2","0.7434803224276909","53.79611190137506","22.87984375","0.5177809388335705","0.238125","54.61482535166746"
"22.115859375","-0.1","1.11125","54","0.7700331910858227","53.42437174016121","22.850078125","0.5761972498814604","0.25796874999999997","54.366998577524896"
"22.115859375","-0.1","1.11125","54","0.5045045045045046","54.08819345661451","22.8203125","0.5576102418207681","0.2778125","54.32274379642801"
"22.115859375","-0.1","1.101328125","54","0.6638217164532955","54.327169274537695","22.790546875","0.4845898530109057","0.287734375","54.31389284020863"
"22.096015625","-0.1","1.11125","54","0.18587008060692273","55.57515410146989","22.76078125","0.5111427216690375","0.30757812500000004","53.98198198198198"
"22.076171875","-0.1","1.160859375","54.1","0.05310573731626363","55.01754385964912","22.64171875","0.5974395448079659","0.3175","54.05057689268216"
"22.056328125","-0.1","1.180703125","54","0.42484589853010907","53.68990042674253","22.621875","0.4469732890785522","0.33734375","54.07491702228545"
"22.016640624999997","-0.1","1.21046875","54","0.5310573731626363","54.40682788051209","22.5821875","0.605737316263632","0.41671875","54.18112849691797"
"21.996796874999998","-0.1","1.260078125","54","0.05310573731626363","53.92887624466572","22.56234375","0.4182076813655761","0.4365625","54.00587956377431"
"21.986874999999998","-0.1","1.28984375","54","0.4779516358463727","54.459933617828355","22.532578125","0.42484589853010907","0.45640625","53.995258416311046"
"21.957109374999998","0","1.299765625","54.1","1.0886676149834045","54.300616405879566","22.5028125","0.39829302987197723","0.466328125","53.72530425162004"
"21.937265625","0","1.299765625","54.1","1.035561877667141","54.433380749170226","22.482968749999998","0.5841631104789","0.486171875","53.49739212897108"
