"Press 1, x","Press 1, y","Release 1, x","Release 1, y","Press 2, x","Press 2, y","Release 2, x","Release 2, y","Press 3, x","Press 3, y","Release 3, x","Release 3, y","Press 4, x","Press 4, y","Release 4, x","Release 4, y"
"-7.1998732702424615","0.41157674398735533","4.06145485475754","645.7652276596914","-7.183559735086874","0.40367868280209696","4.057924639913126","626.0266564141998","-7.169132005697721","0.35687535725982483","4.06243049430228","644.8021029762668","-1.6887805941121048","0.37515790629977486","4.075828780887896","648.3847512861355"
"-7.189951395242462","0.6932742595949056","4.0812986047575395","673.5598213141467","-7.193481610086874","0.31153463564074874","4.067846514913126","661.0677212061296","-7.179053880697721","0.3704566794037877","4.08227424430228","677.7227577305433","-1.6987024691121047","0.3986640407797106","4.095672530887896","681.6641096525757"
"-7.180029520242462","0.1777063766683144","4.091220479757539","706.9598445042507","-7.203403485086874","0.2595077246584909","4.087690264913126","690.0492179442584","-7.19889763069772","0.421229929880449","4.0921961193022796","699.7517667197599","-1.7185462191121044","0.4903379652514601","4.115516280887896","704.8712461019267"
"-7.16018577024246","1.0925651306274144","4.11106422975754","743.0890866150382","-7.213325360086875","0.2994681532743817","4.097612139913126","716.1632796909614","-7.20881950569772","0.46448121732353076","4.11203986930228","727.9511360099597","-1.738389969112105","0.4651080475763291","4.125438155887895","739.438427222741"
"-7.15026389524246","0.23694183555775256","4.12098610475754","767.928489042676","-7.233169110086875","0.5956454477215724","4.107534014913126","740.6362998358386","-7.21874138069772","0.49691968290584215","4.12196174430228","742.2861170612036","-1.7483118441121048","0.41596455575694335","4.135360030887896","751.6420287069077"
"-7.140342020242461","0.4673019534611231","4.13090797975754","784.9718469086982","-7.243090985086875","0.32250416506471874","4.117455889913126","749.7201671518282","-7.22866325569772","0.4080664945716849","4.13188361930228","751.9524663896061","-1.7681555941121045","0.4131293543058249","4.011881984752781","772.7956692480915"
"-7.110576395242461","1.0201662364292123","4.1408298547575395","800.1690329726663","-7.253012860086875","0.427811647534831","3.996023017900879","768.8104392083632","-7.23858513069772","0.32250416506471874","4.002370325395504","774.4443895205142","-1.7780774691121044","0.36528532981820183","3.8884039386176665","486.3650514334745"
"-7.100654520242461","0.23694183555775256","4.015887986816843","819.9141859358124","-7.2629347350868745","0.3014426685706963","3.8745901458886327","492.479588911858","-7.248507005697721","0.39302256850452605","3.872857031488729","519.6879158385489","-1.797921219112105","0.427811647534831","3.8784820636176662","187.15534636681684"
"-7.080810770242461","0.4651080475763291","3.8909461188761454","555.5186960062416","-7.272856610086874","0.32250416506471874","3.864668270888633","175.12872447388025","-7.258428880697721","0.47059281228831407","3.8629351564887293","244.2505224972808","-1.8078430941121049","0.3516517718198391","3.8586383136176665","129.06724032217346"
"-7.060967020242462","0.2983712003319847","3.8711023688761452","171.73479221281318","-7.267895672586874","0.44995015237229774","3.854746395888633","126.86755366235322","-7.258428880697721","0.4024250222965004","3.8530132814887295","136.5034095992701","-1.8177649691121047","0.46260072656513596","3.848716438617666","97.05122181789191"
